v362_id,region,cadena_productiva,tipo_empresa,herramientas_diferenciacion
80,RM,Contenidos creativos,Profesional independiente,Ninguna de las anteriores
83,RM,Bienes creativos,Profesional independiente,Ninguna de las anteriores
85,RM,Bienes creativos,Empresa,Registro de propiedad intelectual
86,RM,Servicios creativos,Empresa,Registro de propiedad intelectual
87,RM,Experiencias creativas,Profesional independiente,Ninguna de las anteriores
88,RM,Contenidos creativos,Empresa,Registro de propiedad intelectual
88,RM,Contenidos creativos,Empresa,Licenciamiento
89,RM,Experiencias creativas,Empresa,Ninguna de las anteriores
90,RM,Experiencias creativas,Profesional independiente,Ninguna de las anteriores
93,RM,Experiencias creativas,Profesional independiente,Ninguna de las anteriores
94,RM,Servicios creativos,Profesional independiente,Ninguna de las anteriores
96,RM,Experiencias creativas,Empresa,Registro de propiedad intelectual
98,RM,Experiencias creativas,Profesional independiente,Registro de propiedad intelectual
99,RM,Bienes creativos,Empresa,Ninguna de las anteriores
100,RM,Experiencias creativas,Empresa,Ninguna de las anteriores
101,RM,Servicios creativos,Empresa,Gestión de precios de contenidos creativos
102,RM,Experiencias creativas,Empresa,Registro de propiedad intelectual
102,RM,Experiencias creativas,Empresa,Licenciamiento
102,RM,Experiencias creativas,Empresa,Gestión de precios de contenidos creativos
105,RM,Experiencias creativas,Empresa,Registro de propiedad intelectual
106,RM,Bienes creativos,Empresa,Registro de propiedad intelectual
106,RM,Bienes creativos,Empresa,"Contamos con experiencia en patentamiento, pero hemos utilizado la lógica CC u Opensource para la gran mayoría de estos mismos"
107,RM,Servicios creativos,Empresa,Ninguna de las anteriores
109,RM,Servicios creativos,Empresa,Ninguna de las anteriores
110,RM,Experiencias creativas,Empresa,Gestión de precios de contenidos creativos
112,RM,Servicios creativos,Empresa,Gestión de precios de contenidos creativos
119,RM,Servicios creativos,Empresa,Registro de propiedad intelectual
119,RM,Servicios creativos,Empresa,Gestión de precios de contenidos creativos
122,RM,Contenidos creativos,Empresa,Ninguna de las anteriores
124,RM,Experiencias creativas,Profesional independiente,herramientas web3
125,RM,Servicios creativos,Empresa,Gestión de precios de contenidos creativos
127,RM,Experiencias creativas,Empresa,Ninguna de las anteriores
128,RM,Contenidos creativos,Empresa,Ninguna de las anteriores
130,RM,Contenidos creativos,Profesional independiente,Ninguna de las anteriores
132,RM,Bienes creativos,Empresa,Ninguna de las anteriores
133,RM,Servicios creativos,Empresa,Registro de propiedad intelectual
133,RM,Servicios creativos,Empresa,"Registro de propiedad industrial, Subscripciónes"
136,RM,Contenidos creativos,Empresa,Ninguna de las anteriores
139,RM,Contenidos creativos,Profesional independiente,Registro de propiedad intelectual
139,RM,Contenidos creativos,Profesional independiente,Licenciamiento
67,O'Higgins,Bienes creativos,Empresa,Ninguna de las anteriores
77,O'Higgins,Servicios creativos,Profesional independiente,Ninguna de las anteriores
43,Maule,Contenidos creativos,Empresa,Ninguna de las anteriores
70,Maule,Experiencias creativas,Empresa,Registro de propiedad intelectual
70,Maule,Experiencias creativas,Empresa,Licenciamiento
70,Maule,Experiencias creativas,Empresa,Gestión de precios de contenidos creativos
6,Biobío,Contenidos creativos,Empresa,Ninguna de las anteriores
41,Biobío,Experiencias creativas,Profesional independiente,promover trabajo asociativo
61,Biobío,Servicios creativos,Empresa,Registro de propiedad intelectual
61,Biobío,Servicios creativos,Empresa,Licenciamiento
61,Biobío,Servicios creativos,Empresa,Gestión de precios de contenidos creativos
108,Biobío,Contenidos creativos,Profesional independiente,Ninguna de las anteriores
111,Biobío,Bienes creativos,Empresa,Registro de propiedad intelectual
115,Biobío,Servicios creativos,Empresa,Marcas territoriales
118,Biobío,Bienes creativos,Empresa,Gestión de precios de contenidos creativos
137,Biobío,Bienes creativos,Empresa,Registro de propiedad intelectual
137,Biobío,Bienes creativos,Empresa,Licenciamiento
27,Araucanía,Contenidos creativos,Profesional independiente,Ninguna de las anteriores
37,Araucanía,Experiencias creativas,Empresa,Gestión de precios de contenidos creativos
40,Araucanía,Contenidos creativos,Profesional independiente,Ninguna de las anteriores
44,Araucanía,Contenidos creativos,Profesional independiente,Registro de propiedad intelectual
44,Araucanía,Contenidos creativos,Profesional independiente,Gestión de precios de contenidos creativos
66,Araucanía,Bienes creativos,Empresa,Registro de propiedad intelectual
81,Araucanía,Bienes creativos,Profesional independiente,Ninguna de las anteriores
116,Araucanía,Servicios creativos,Profesional independiente,Registro de propiedad intelectual
121,Araucanía,Experiencias creativas,Profesional independiente,Ninguna de las anteriores
39,Los Ríos,Experiencias creativas,Empresa,Ninguna de las anteriores
75,Los Ríos,Bienes creativos,Empresa,Secreto industrial
82,Los Ríos,Bienes creativos,Empresa,SECRETO INDUSTRIAL
134,Los Lagos,Experiencias creativas,Empresa,Gestión de precios de contenidos creativos
4,Aysén,Bienes creativos,Empresa,Ninguna de las anteriores
51,Aysén,Bienes creativos,Empresa,Registro de propiedad intelectual
51,Aysén,Bienes creativos,Empresa,Licenciamiento
51,Aysén,Bienes creativos,Empresa,Gestión de precios de contenidos creativos
95,Aysén,Servicios creativos,Empresa,Ninguna de las anteriores
123,Aysén,Bienes creativos,Empresa,Registro de marca
10,Magallanes,Contenidos creativos,Empresa,Ninguna de las anteriores
59,Magallanes,Servicios creativos,Empresa,Registro de propiedad intelectual
59,Magallanes,Servicios creativos,Empresa,Gestión de precios de contenidos creativos
59,Magallanes,Servicios creativos,Empresa,Desarrollo de gestion de identidad organizacional en identidad visual
79,Magallanes,Bienes creativos,Empresa,MANUFACTURA ADITIVA
91,Magallanes,Bienes creativos,Empresa,Registro de propiedad intelectual
91,Magallanes,Bienes creativos,Empresa,Licenciamiento
91,Magallanes,Bienes creativos,Empresa,Franquicias
91,Magallanes,Bienes creativos,Empresa,Gestión de precios de contenidos creativos
91,Magallanes,Bienes creativos,Empresa,Servicios
9,Extranjero,Servicios creativos,Profesional independiente,Ninguna de las anteriores
31,Extranjero,Experiencias creativas,Profesional independiente,Registro de propiedad intelectual
31,Extranjero,Experiencias creativas,Profesional independiente,Licenciamiento
31,Extranjero,Experiencias creativas,Profesional independiente,Franquicias
31,Extranjero,Experiencias creativas,Profesional independiente,Gestión de precios de contenidos creativos
57,Extranjero,Contenidos creativos,Profesional independiente,Registro de propiedad intelectual
